"REPORT_START_DATE","WEEK_NUMBER","ORDER_PLACED_AT_UTC","TRANSACTION_COMPLETED_AT_UTC","SELLER_ID","TRANSACTION_TYPE","TRANSACTION_MESSAGE","ORDER_ID","LISTING_TITLE","LISTING_DESCRIPTION","PRODUCT_CATEGORY","BUY_FORMAT","SALE_TYPE","QUANTITY_SOLD","SKU","COST_OF_GOODS","LIVESTREAM_ID","LIVESTREAM_TITLE","BUYER_NAME","BUYER_STATE","BUYER_COUNTRY","SHIPMENT_ID","TRANSACTION_CURRENCY","TRANSACTION_AMOUNT","BUYER_PAID","ORIGINAL_ITEM_PRICE","COUPON_COST","POST_COUPON_PRICE","SHIPPING_FEE","COMMISSION_FEE","PAYMENT_PROCESSING_FEE","TAX_ON_COMMISSION_FEE","TAX_ON_PAYMENT_PROCESSING_FEE","LEDGER_TRANSACTION_ID"
"2025-12-15 00:00:00",51,"2025-12-20 03:06:57","2025-12-20 03:06:58",384277,"ORDER_EARNINGS","Charged deduction of $4.29 for giveaway order ddQ2SqMCntvPa9wRZ4YGxG","709477089","GIVEAWAY #27","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","5ab716ba-eff7-4e65-99bf-2cd9ab7dca18","MAGS AND SLABS $2 STARTS!!","chadgen92392","TN","US","241784904","USD",-4.29,0.00,0.00,0.00,0.00,4.29,0.00,0.00,0.00,0.00,"708663424"
"2025-12-15 00:00:00",51,"2025-12-16 00:56:57","2025-12-16 00:56:59",384277,"ORDER_EARNINGS","Charged deduction of $4.18 for giveaway order Kf64LtWM7sMQNwkBRburim","700901787","GIVEAWAY #8","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","c3804c33-690c-463a-ac2e-24dc9f2aaad7","MAGS AND SLABS $2 STARTS! SUDDEN DEATH! 💀 ","dylelp","IN","US","238481978","USD",-4.18,0.00,0.00,0.00,0.00,4.18,0.00,0.00,0.00,0.00,"699906781"
"2025-12-15 00:00:00",51,"2025-12-20 03:12:46","2025-12-20 03:12:46",384277,"ORDER_EARNINGS","Charged deduction of $4.29 for giveaway order QwF4PhLXgCv48YvLSozt3o","709489520","GIVEAWAY #28","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","5ab716ba-eff7-4e65-99bf-2cd9ab7dca18","MAGS AND SLABS $2 STARTS!!","fauwil","GA","US","241788805","USD",-4.29,0.00,0.00,0.00,0.00,4.29,0.00,0.00,0.00,0.00,"708676031"
"2025-12-15 00:00:00",51,"2025-12-20 01:38:54","2025-12-20 01:38:55",384277,"ORDER_EARNINGS","Charged deduction of $0.00 for giveaway order jSCGiHeSGZ5BUK6gXNZ7yY","709284292","GIVEAWAY #13","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","5ab716ba-eff7-4e65-99bf-2cd9ab7dca18","MAGS AND SLABS $2 STARTS!!","dgtfb1964","MO","US","241689123","USD",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"708467748"
"2025-12-15 00:00:00",51,"2025-12-16 03:34:44","2025-12-16 03:34:45",384277,"ORDER_EARNINGS","Charged deduction of $0.00 for giveaway order j8tUcgtnVGtJycj9SqAbJQ","701214603","GIVEAWAY #37","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","c3804c33-690c-463a-ac2e-24dc9f2aaad7","MAGS AND SLABS $2 STARTS! SUDDEN DEATH! 💀 ","billyd007","NY","US","238534018","USD",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"700224681"
"2025-12-15 00:00:00",51,"2025-12-16 02:12:09","2025-12-16 02:12:10",384277,"ORDER_EARNINGS","Charged deduction of $0.00 for giveaway order 8zohRmwQFFYjowSf2y7JhS","701046835","GIVEAWAY #22","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","c3804c33-690c-463a-ac2e-24dc9f2aaad7","MAGS AND SLABS $2 STARTS! SUDDEN DEATH! 💀 ","markmch58272","MN","US","238507853","USD",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"700055356"
"2025-12-15 00:00:00",51,"2025-12-16 02:17:23","2025-12-16 02:17:24",384277,"ORDER_EARNINGS","Charged deduction of $4.55 for giveaway order T4VeD3EJwZHGWPF4YUCjSh","701057516","GIVEAWAY #23","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","c3804c33-690c-463a-ac2e-24dc9f2aaad7","MAGS AND SLABS $2 STARTS! SUDDEN DEATH! 💀 ","sagemur","CA","US","238535220","USD",-4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,"700066219"
"2025-12-15 00:00:00",51,"2025-12-20 03:18:02","2025-12-20 03:18:03",384277,"ORDER_EARNINGS","Charged deduction of $4.35 for giveaway order gVAxVDxmmDDXHsRDH2CD6Y","709500850","GIVEAWAY #29","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","5ab716ba-eff7-4e65-99bf-2cd9ab7dca18","MAGS AND SLABS $2 STARTS!!","mpro34","FL","US","241792377","USD",-4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,"708687365"
"2025-12-15 00:00:00",51,"2025-12-20 03:23:20","2025-12-20 03:23:21",384277,"ORDER_EARNINGS","Charged deduction of $0.78 for giveaway order CtEDdqg2k6MjKfbDfPF7pM","709512160","GIVEAWAY #30","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","5ab716ba-eff7-4e65-99bf-2cd9ab7dca18","MAGS AND SLABS $2 STARTS!!","jamesmou23","NY","US","241725166","USD",-0.78,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,"708698753"
"2025-12-15 00:00:00",51,"2025-12-16 03:40:08","2025-12-16 03:40:09",384277,"ORDER_EARNINGS","Charged deduction of $4.18 for giveaway order ZLrHPRzJJzRYJhw2hMzWy8","701225168","GIVEAWAY #38","GIVEAWAY","Baseball Singles","GIVEAWAY","",1,"","","c3804c33-690c-463a-ac2e-24dc9f2aaad7","MAGS AND SLABS $2 STARTS! SUDDEN DEATH! 💀 ","butdell","IN","US","238588627","USD",-4.18,0.00,0.00,0.00,0.00,4.18,0.00,0.00,0.00,0.00,"700235358"
